,col
379,0.04201680672268908
380,0.04201680672268908
381,0.2789473684210526
382,0.2789473684210526
383,False
384,False
385,0.12025316455696203
386,False
387,0.12025316455696203
388,0.19444444444444445
389,0.19444444444444445
390,0.24372759856630824
391,0.24372759856630824
392,0.3333333333333333
393,0.228310502283105
394,0.3333333333333333
395,False
396,False
397,0.4927536231884058
398,0.5147058823529411
399,0.19811320754716982
400,0.19811320754716982
401,0.1510204081632653
402,0.6486486486486487
403,0.1510204081632653
404,False
405,False
406,False
407,False
408,0.14553990610328638
409,0.6557971014492754
410,0.6557971014492754
411,0.5256410256410257
412,0.5256410256410257
413,0.24770642201834864
414,0.3333333333333333
415,0.24770642201834864
416,0.5625
417,0.43478260869565216
418,0.43478260869565216
419,0.5897435897435898
420,0.7407407407407407
421,0.7407407407407407
422,0.7407407407407407
423,0.1574074074074074
424,0.1574074074074074
425,0.47474747474747475
426,0.6274509803921569
427,0.6274509803921569
428,False
429,0.6274509803921569
430,False
431,False
432,False
433,0.684
434,False
435,0.684
436,0.0440771349862259
437,0.3959731543624161
438,0.0440771349862259
439,0.3959731543624161
440,0.41379310344827586
441,0.15217391304347827
442,0.41379310344827586
443,0.41379310344827586
444,0.19405594405594406
445,False
446,False
447,0.21390374331550802
448,False
449,0.21390374331550802
450,False
451,False
452,0.2949640287769784
453,0.2949640287769784
454,0.675
455,0.25301204819277107
456,0.25301204819277107
457,False
458,False
459,0.18018018018018017
460,0.2916666666666667
461,0.2916666666666667
462,0.6122448979591837
463,0.3902439024390244
464,0.3902439024390244
465,False
466,False
467,False
468,False
469,False
470,0.21212121212121213
471,0.49019607843137253
472,0.21212121212121213
473,0.49019607843137253
474,0.29914529914529914
475,0.29914529914529914
476,False
477,0.040983606557377046
478,0.040983606557377046
479,0.46766169154228854
480,0.46766169154228854
481,0.109375
482,0.4666666666666667
483,0.109375
484,0.2898550724637681
485,0.38686131386861317
486,0.38686131386861317
487,False
488,0.5405405405405406
489,False
490,0.5405405405405406
491,0.43548387096774194
492,0.43548387096774194
493,0.06199460916442048
494,0.3217391304347826
495,False
496,0.3217391304347826
497,False
498,0.2736842105263158
499,0.4
500,0.4
501,0.3758620689655172
502,0.24242424242424243
503,0.3758620689655172
504,0.24242424242424243
505,0.5535714285714286
506,0.5535714285714286
507,False
508,False
509,0.2682926829268293
510,0.21621621621621623
511,False
512,0.21621621621621623
513,False
514,False
515,0.5
516,0.5
517,0.3352272727272727
518,0.19298245614035087
519,0.19298245614035087
520,0.3283582089552239
521,0.3283582089552239
522,0.3953488372093023
523,0.2857142857142857
524,0.3953488372093023
525,0.0
526,0.0
527,0.38636363636363635
528,0.38636363636363635
529,0.36283185840707965
530,0.29411764705882354
531,0.36283185840707965
532,False
533,False
534,0.23809523809523808
535,0.0
536,0.23809523809523808
537,0.3854166666666667
538,0.3854166666666667
539,0.18181818181818182
540,0.18181818181818182
541,0.13488372093023257
542,0.36046511627906974
543,0.36046511627906974
544,0.5116279069767442
545,0.1863799283154122
546,0.1863799283154122
547,0.22162162162162163
548,False
549,False
550,False
551,False
552,0.3047619047619048
553,0.2222222222222222
554,0.3047619047619048
555,0.09523809523809523
556,0.09523809523809523
557,False
558,False
559,0.44680851063829785
